Word	Definition	Class	Register	CEFR Level	IPA	Image	Example	Cambridge Examples	Audio	Definition Audio	Example Audio	Explanation	Morphology	Etymology	Connected Words	Hint	ID	Hide this	Tags
reach	"To <span id=""word-in-definition"">reach</span> means to arrive at a place."	verb		B1	/riːtʃ/	"<img src=""reach.jpg"" />"	I was happy to finally reach my destination.	"• We won't reach Miami until five or six o'clock.
<br>• They finally reached the coast after five weeks sailing.
<br>• News of his accident had only just reached us."	[sound:oxford_reach.mp3]	[sound:reach_meaning.mp3]	[sound:reach_example.mp3]						reach	reach	English::cefr-B1
survive	"To <span id=""word-in-definition"">survive</span> is to stay alive. (despite some danger or illness)"	verb		B2	/sɚˈvaɪv/	"<img src=""survive.jpg"" />"	My dog survived her fall into the water.	"• The baby was born with a heart problem and only survived for a few hours.
<br>• These plants cannot survive in very cold conditions.
<br>• None of Shakespeare's plays survives in its original manuscript form.
<br>• The family are struggling to survive on very little money.
<br>• The front passengers were lucky to survive the accident.
<br>• The chairman of the board succeeded in surviving the challenge to his authority.
<br>• ""How are you?"" ""Oh, (I'm) surviving (= life is satisfactory, but not very good)."""	[sound:oxford_survive.mp3]	[sound:survive_meaning.mp3]	[sound:survive_example.mp3]						survive	survive	English::cefr-B2
voice	"A <span id=""word-in-definition"">voice</span> is the sound a person makes when they talk or sing."	noun		B1	/vɔɪs/	"<img src=""voice.jpg"" />"	He used a microphone, so everyone could hear his voice.	"• She has a loud/quiet/soft voice.
<br>• a low-pitched/high-pitched voice
<br>• a booming/breathy/clear/deep/fruity/gravelly/husky/squeaky voice
<br>• a baritone/soprano singing voice
<br>• You could tell from her voice that she wasn't pleased.
<br>• ""I don't know what you mean,"" said Fran in a quavering voice.
<br>• She lowered her voice to a whisper.
<br>• You'll have to raise your voice (= speak louder) if you want to be heard in here.
<br>• I have a cold and I think I'm losing my voice (= becoming unable to speak).
<br>• He's at that age when his voice is breaking (= changing from a boy's to a man's).
<br>• She's done a lot of work with voice-activated computers."	[sound:oxford_voice.mp3]	[sound:voice_meaning.mp3]	[sound:voice_example.mp3]						voice	voice	English::cefr-B1
wise	"To be <span id=""word-in-definition"">wise</span> is to use experience and intelligence to make good choices."	adjective	approving	B2	/waɪz/	"<img src=""wise.jpg"" />"	Many people believe that owls are very wise animals.	"• I think you made a wise choice.
<br>• ""I never drink more than three glasses of wine."" ""How wise.""
<br>• Looking at the weather, I think we made a wise decision not to go to the coast this weekend.
<br>• I think it would be wiser to wait and see how much money you have left before you make any decisions.
<br>• I never used to save money but now I'm a little older and wiser I can see the point of it.
<br>• Was it Thomas More who said that the wise man learns from the experience of others?"	[sound:oxford_wise.mp3]	[sound:wise_meaning.mp3]	[sound:wise_example.mp3]						wise	wise	English::cefr-B2
allow	"To <span id=""word-in-definition"">allow</span> something to happen means to let it happen."	verb		B1	/əˈlaʊ/	"<img src=""allow.jpg"" />"	Having a ticket will allow you to enter the show.	"• <span class=""c-grammar-use"">[ + to infinitive ]</span> Do you think Dad will allow you to go to Jamie's party?
<br>• You're not allowed to talk during the exam.
<br>• Her proposals would allow (= make it possible for) more people to stay in full-time education.
<br>• The loophole has allowed hundreds of drink-drivers to avoid prosecution.
<br>• The government has refused to allow foreign journalists into the area for several weeks.
<br>• Prisoners have been moved to allow the demolition of part of the prison.
<br>• Pets aren't allowed in this hotel.
<br>• <span class=""c-grammar-use"">[ + -ing verb ]</span> Smoking is not allowed in this restaurant.
<br>• <span class=""c-grammar-use"">[ + two objects ]</span> He didn't allow us enough time to finish the test.
<br>• Red Cross officials were allowed access to the prison for the first time a few days ago.
<br>• UK The referee decided to allow (= officially accept) the goal.
<br>• At the weekend I allow myself (= I give myself the special pleasure of having) a box of chocolates.
<br>• How much time do you allow yourself (= make available to yourself) to get ready in the morning?"	[sound:oxford_allow.mp3]	[sound:allow_meaning.mp3]	[sound:allow_example.mp3]						allow	allow	English::cefr-B1
announce	"To <span id=""word-in-definition"">announce</span> something is to make it known."	verb		B1	/əˈnaʊns/	"<img src=""announce.jpg"" />"	He announced to everyone his new idea for the company.	"• They announced the death of their mother in the local paper.
<br>• She announced the winner of the competition to an excited audience.
<br>• <span class=""c-grammar-use"">[ + that ]</span> The prime minister has announced that public spending will be increased next year."	[sound:oxford_announce.mp3]	[sound:announce_meaning.mp3]	[sound:announce_example.mp3]						announce	announce	English::cefr-B1
challenge	"A <span id=""word-in-definition"">challenge</span> is something difficult to complete."	noun		B1	/ˈtʃæl.ɪndʒ/	"<img src=""challenge.jpg"" />"	It was a challenge to climb to the top of the mountain.	"• Finding a solution to this problem is one of the greatest challenges faced by scientists today.
<br>• You know me - I like a challenge.
<br>• It's going to be a difficult job but I'm sure she'll rise to the challenge."	[sound:oxford_challenge.mp3]	[sound:challenge_meaning.mp3]	[sound:challenge_example.mp3]						challenge	challenge	English::cefr-B1
claim	"To <span id=""word-in-definition"">claim</span> means to say that something is true."	verb		B2	/kleɪm/	"<img src=""claim.jpg"" />"	He claimed to know why the country's laws were weak.	"• <span class=""c-grammar-use"">[ + (that) ]</span> The company claims (that) it is not responsible for the pollution in the river.
<br>• <span class=""c-grammar-use"">[ + to infinitive ]</span> He claims to have met the president, but I don't believe him.
<br>• All parties have claimed success in yesterday's elections.
<br>• An unknown terrorist group has claimed responsibility for this morning's bomb attack."	[sound:oxford_claim.mp3]	[sound:claim_meaning.mp3]	[sound:claim_example.mp3]						claim	claim	English::cefr-B2
condition	"The <span id=""word-in-definition"">condition</span> of someone or something is the state that they are in."	noun		B1	/kənˈdɪʃ.ən/	"<img src=""condition.jpg"" />"	The patient's condition was very good.	"• Mum's still got our pram - it's very old, but it's in perfect condition.
<br>• They left the flat in a terrible condition - there was mess everywhere.
<br>• The hospital say her condition (= state of health) is improving slowly.
<br>• He's in no condition (= he is too sick or too drunk) to drive home."	[sound:oxford_condition.mp3]	[sound:condition_meaning.mp3]	[sound:condition_example.mp3]						condition	condition	English::cefr-B1
contribute	"To <span id=""word-in-definition"">contribute</span> to something means to do something to make it successful."	verb		B2	/kənˈtrɪb.juːt/	"<img src=""contribute.jpg"" />"	We decided to contribute money to the new hospital.	"• Aren't you going to contribute towards Jack's leaving present?
<br>• Come to the meeting if you feel you have something to contribute.
<br>• Her family has contributed $50,000 to the fund."	[sound:oxford_contribute.mp3]	[sound:contribute_meaning.mp3]	[sound:contribute_example.mp3]						contribute	contribute	English::cefr-B2
divide	"To <span id=""word-in-definition"">divide</span> something is to make it into smaller parts."	verb		B1	/dɪˈvaɪd/	"<img src=""divide.jpg"" />"	We divided the pizza.	"• At the end of the lecture, I'd like all the students to divide into small discussion groups.
<br>• After the Second World War Germany was divided into two separate countries."	[sound:oxford_divide.mp3]	[sound:divide_meaning.mp3]	[sound:divide_example.mp3]						divide	divide	English::cefr-B1
expert	"An <span id=""word-in-definition"">expert</span> is someone who is very good at doing something."	noun		B1	/ˈek.spɝːt/	"<img src=""expert.jpg"" />"	The wizard was an expert at magic.	"• a gardening/medical expert
<br>• My mother is an expert at dress-making (= she does it very well)."	[sound:oxford_expert.mp3]	[sound:expert_meaning.mp3]	[sound:expert_example.mp3]						expert	expert	English::cefr-B1
force	"<span id=""word-in-definition"">force</span> is a person's strength or power."	noun		B2	/fɔːrs/	"<img src=""force.jpg"" />"	He used all his force to try and open the door.	"• The force of the wind had brought down a great many trees in the area.
<br>• She slapped his face with unexpected force.
<br>• Teachers aren't allowed to use force in the classroom.
<br>• The police were able to control the crowd by sheer force of numbers (= because there were more police than there were people in the crowd)."	[sound:oxford_force.mp3]	[sound:force_meaning.mp3]	[sound:force_example.mp3]						force	force	English::cefr-B2
harm	"<span id=""word-in-definition"">harm</span> is hurt or problems caused to someone or something."	noun		B2	/hɑːrm/	"<img src=""harm.jpg"" />"	A hot iron can cause great harm if you are not careful.	"• Both deny conspiring to cause actual bodily harm.
<br>• A mistake like that will do his credibility a lot of harm.
<br>• Missing a meal once in a while never did anyone any harm.
<br>• You could always ask Jim if they need any more staff in his office - (there's) no harm in asking (= no one will be annoyed and you might benefit).
<br>• She meant no harm (= did not intend to offend) - she was only joking.
<br>• She was frightened by the experience but she came to no harm (= was not hurt)."	[sound:oxford_harm.mp3]	[sound:harm_meaning.mp3]	[sound:harm_example.mp3]						harm	harm	English::cefr-B2
peace	"<span id=""word-in-definition"">peace</span> is a time without war."	noun		B2	/piːs/	"<img src=""peace.jpg"" />"	A white dove is a symbol for peace.	"• peace talks/proposals
<br>• a peace conference/initiative
<br>• Now that the war is over may there be a lasting peace between our nations.
<br>• Peace lasted in Europe for just over 20 years after 1918 before war broke out again.
<br>• She's very good at keeping (the) peace within the family.
<br>• The police act on the public's behalf to keep the peace."	[sound:oxford_peace.mp3]	[sound:peace_meaning.mp3]	[sound:peace_example.mp3]						peace	peace	English::cefr-B2
prince	"A <span id=""word-in-definition"">prince</span> is the son of a king."	noun		B1	/prɪns/	"<img src=""prince.jpg"" />"	The prince and the princess were married.	"• Prince Edward
<br>• Prince Juan Carlos of Spain became king in 1975."	[sound:oxford_prince.mp3]	[sound:prince_meaning.mp3]	[sound:prince_example.mp3]						prince	prince	English::cefr-B1
protect	"To <span id=""word-in-definition"">protect</span> someone is to stop them from getting hurt."	verb		B1	/prəˈtekt/	"<img src=""protect.jpg"" />"	Firemen protect us from fires.	"• clothing that protects you against the cold
<br>• It's important to protect your skin from the harmful effects of the sun.
<br>• Surely the function of the law is to protect everyone's rights.
<br>• Of course the company will act to protect its financial interests in the country if war begins.
<br>• Patients' names have been changed to protect their privacy.
<br>• Public pressure to protect the environment is strong and growing.
<br>• Vitamin C may help protect against cancer."	[sound:oxford_protect.mp3]	[sound:protect_meaning.mp3]	[sound:protect_example.mp3]						protect	protect	English::cefr-B1
therefore	"<span id=""word-in-definition"">therefore</span> means for this reason."	adverb		B1	/ˈðer.fɔːr/	"<img src=""therefore.jpg"" />"	He is fat. therefore, he will go on a diet.	• We were unable to get funding and therefore had to abandon the project.	[sound:oxford_therefore.mp3]	[sound:therefore_meaning.mp3]	[sound:therefore_example.mp3]						therefore	therefore	English::cefr-B1
accept	"To <span id=""word-in-definition"">accept</span> something that is offered is to take it."	verb		B1	/əkˈsept/	"<img src=""accept.jpg"" />"	I accepted the girl's very nice gift.	"• Do you accept credit cards?
<br>• She was in Mumbai to accept an award for her latest novel.
<br>• I offered her an apology, but she wouldn't accept it.
<br>• I accept full responsibility for the failure of the plan.
<br>• The new coffee machines will accept coins of any denomination."	[sound:oxford_accept.mp3]	[sound:accept_meaning.mp3]	[sound:accept_example.mp3]						accept	accept	English::cefr-B1
arrange	"To <span id=""word-in-definition"">arrange</span> things is to put them in the right place."	verb		B2	/əˈreɪndʒ/	"<img src=""arrange.jpg"" />"	Please arrange the bowling pins in order so we can play.	"• She arranged her birthday cards along the shelf.
<br>• Who arranged these flowers so beautifully?
<br>• His books are neatly arranged in alphabetical order."	[sound:oxford_arrange.mp3]	[sound:arrange_meaning.mp3]	[sound:arrange_example.mp3]						arrange	arrange	English::cefr-B2
attend	"To <span id=""word-in-definition"">attend</span> something is to go to it."	verb		B1	/əˈtend/	"<img src=""attend.jpg"" />"	My sister and I attend the same school.	"• Which school do your children attend?
<br>• I attended the classes/seminars/lectures for a month or two."	[sound:oxford_attend.mp3]	[sound:attend_meaning.mp3]	[sound:attend_example.mp3]						attend	attend	English::cefr-B1
balance	"To <span id=""word-in-definition"">balance</span> something is to keep it from falling."	verb		B2	/ˈbæl.əns/	"<img src=""balance_1631277826761.jpg"" />"	We saw an elephant balance itself on a ball.	"• The flamingos balanced gracefully on one leg.
<br>• She balanced a huge pot effortlessly on her head and walked down to the river."	[sound:oxford_balance.mp3]	[sound:balance_meaning.mp3]	[sound:balance_example.mp3]						balance	balance	English::cefr-B2
contrast	"A <span id=""word-in-definition"">contrast</span> is the sharp difference between two things."	noun		B2	/ˈkɑːn.træst/	"<img src=""contrast.jpg"">"	The contrast between my parents is very noticeable.	"• I like the contrast of the white trousers with the black jacket.
<br>• The antique furnishing provides an unusual contrast to the modernity of the building.
<br>• There's a marked contrast between his character and hers.
<br>• Their economy has expanded, while ours, by/in contrast, has declined.
<br>• The amount spent on defence is in stark/sharp (= in very noticeable) contrast to that spent on housing and health.
<br>• I love his use of contrast (= strong differences between light and darkness) in his later photographs."	[sound:oxford_contrast.mp3]	[sound:contrast_meaning.mp3]	[sound:contrast_example.mp3]						contrast	contrast	English::cefr-B2
encourage	"To <span id=""word-in-definition"">encourage</span> someone is to make them want to do something."	verb		B1	/ɪnˈkɝː.ɪdʒ/	"<img src=""encourage.jpg"" />"	My football coach will encourage us when we are losing.	• They've always encouraged me in everything I've wanted to do.	[sound:oxford_encourage.mp3]	[sound:encourage_meaning.mp3]	[sound:encourage_example.mp3]						encourage	encourage	English::cefr-B1
familiar	"If someone or something is <span id=""word-in-definition"">familiar</span> to you, you know them well."	adjective		B1	/fəˈmɪl.i.jɚ/	"<img src=""familiar.jpg"" />"	The two friends were very familiar with each other.	"• There were one or two familiar faces (= people I knew).
<br>• The house looked strangely familiar, though she knew she'd never been there before.
<br>• The street was familiar to me."	[sound:oxford_familiar.mp3]	[sound:familiar_meaning.mp3]	[sound:familiar_example.mp3]						familiar	familiar	English::cefr-B1
grab	"To <span id=""word-in-definition"">grab</span> is to take a hold of someone or something suddenly."	verb		B1	/ɡræb/	"<img src=""grab.jpg"" />"	I grabbed a pear from the tree.	"• A mugger grabbed her handbag as she was walking across the park.
<br>• He grabbed (hold of) his child's arm to stop her from running into the road."	[sound:oxford_grab.mp3]	[sound:grab_meaning.mp3]	[sound:grab_example.mp3]						grab	grab	English::cefr-B1
hang	"To <span id=""word-in-definition"">hang</span> something is to keep it above the ground."	verb		B1	/hæŋ/	"<img src=""hang.jpg"" />"	I drew a picture of my family, and my mother hung it on the wall.	"• A heavy gold necklace hung around her neck.
<br>• Party decorations hung (down) from the ceiling.
<br>• The curtains hung in thick folds.
<br>• Hang your coat and hat (up) on the rack over there.
<br>• Many of his finest pictures hang/are hung (= are attached to the wall so that they can be seen) in the National Gallery."	[sound:oxford_hang.mp3]	[sound:hang_meaning.mp3]	[sound:hang_example.mp3]						hang	hang	English::cefr-B1
huge	"If something is <span id=""word-in-definition"">huge</span>, it is very big."	adjective		B1	/hjuːdʒ/	"<img src=""huge.jpg"" />"	At work, my father drives a huge truck.	"• They live in a huge house.
<br>• The costs involved in building a spacecraft are huge.
<br>• A huge number of people attended.
<br>• His last three movies have all been huge successes."	[sound:oxford_huge.mp3]	[sound:huge_meaning.mp3]	[sound:huge_example.mp3]						huge	huge	English::cefr-B1
necessary	"If something is <span id=""word-in-definition"">necessary</span>, you must do it."	adjective		B1	/ˈnes.ə.ser.i/	"<img src=""necessary.jpg"" />"	It is necessary to have a passport when you travel to a foreign country.	"• He lacks the necessary skills for the job.
<br>• I don't have much time so I won't be staying any longer than necessary.
<br>• Just do what's necessary and then leave.
<br>• If necessary, we can always change the dates of our trip.
<br>• Is it necessary for all of us to be present at the meeting this afternoon?
<br>• We don't want to take any more luggage with us than is strictly necessary."	[sound:oxford_necessary.mp3]	[sound:necessary_meaning.mp3]	[sound:necessary_example.mp3]						necessary	necessary	English::cefr-B1
pattern	"A <span id=""word-in-definition"">pattern</span> is a way in which something is done or organized."	noun		B2	/ˈpæt̬.ɚn/	"<img src=""pattern.jpg"" />"	My pattern of brushing my teeth is the same as most people's.	"• The pattern of family life has been changing over recent years.
<br>• A pattern is beginning to emerge from our analysis of the accident data.
<br>• In this type of mental illness, the usual pattern is bouts of depression alternating with elation.
<br>• Many behaviour(al) patterns have been identified in the chimp colony."	[sound:oxford_pattern.mp3]	[sound:pattern_meaning.mp3]	[sound:pattern_example.mp3]						pattern	pattern	English::cefr-B2
propose	"To <span id=""word-in-definition"">propose</span> something is to say that it should be done."	verb		B2	/prəˈpoʊz/	"<img src=""propose.jpg"" />"	Santa Claus proposed that I try to be a good boy all year.	"• <span class=""c-grammar-use"">[ + that ]</span> I propose that we wait until the budget has been announced before committing ourselves to any expenditure.
<br>• <span class=""c-grammar-use"">[ + -ing verb ]</span> He proposed dealing directly with the suppliers.
<br>• She proposed a boycott of the meeting.
<br>• He proposed a motion that the chairman resign."	[sound:oxford_propose.mp3]	[sound:propose_meaning.mp3]	[sound:propose_example.mp3]						propose	propose	English::cefr-B2
purpose	"A <span id=""word-in-definition"">purpose</span> is the reason that you do something."	noun		B1	/ˈpɝː.pəs/	"<img src=""purpose.jpg"" />"	The purpose of exercising is to get into shape.	"• The purpose of the research is to try to find out more about the causes of the disease.
<br>• His only purpose in life seems to be to enjoy himself.
<br>• Her main/primary purpose in suing the newspaper for libel was to clear her name.
<br>• I came to Brighton for/with the express purpose of seeing you.
<br>• Letters whose sole purpose is to make a political point will not be published.
<br>• She had the operation entirely for cosmetic purposes.
<br>• a multi-purpose kitchen knife
<br>• I can see no useful purpose in continuing this conversation.
<br>• All my efforts were to no purpose (= failed).
<br>• He gave her a sum of money which she used to good purpose (= well)."	[sound:oxford_purpose.mp3]	[sound:purpose_meaning.mp3]	[sound:purpose_example.mp3]						purpose	purpose	English::cefr-B1
release	"To <span id=""word-in-definition"">release</span> something is to stop holding it."	verb	figurative	B2	/rɪˈliːs/	"<img src=""release.jpg"" />"	She released the bird from her hands.	"• He was released from prison after serving two years of a five-year sentence.
<br>• She was arrested for shoplifting but was released on bail (= after paying a sum of money to the court).
<br>• figurative The surgery released him from years of pain."	[sound:oxford_release.mp3]	[sound:release_meaning.mp3]	[sound:release_example.mp3]						release	release	English::cefr-B2
require	"To <span id=""word-in-definition"">require</span> something is to say that it is necessary."	verb		B1	/rɪˈkwaɪr/	"<img src=""require.jpg"" />"	We require teachers to have a university degree.	"• Please call this number if you require any further information.
<br>• Skiing at 80 miles per hour requires total concentration.
<br>• <span class=""c-grammar-use"">[ + obj + to infinitive  ]</span> Bringing up children often requires you to put their needs first.
<br>• You are required by law to stop your car after an accident.
<br>• <span class=""c-grammar-use"">[ + that ]</span> The rules require that you bring only one guest to the dinner."	[sound:oxford_require.mp3]	[sound:require_meaning.mp3]	[sound:require_example.mp3]						require	require	English::cefr-B1
single	"If something is <span id=""word-in-definition"">single</span>, then there is only one."	adjective		B2	/ˈsɪŋ.ɡəl/	"<img src=""single.jpg"" />"	I have a single key in my hand.	"• He knocked his opponent down with a single blow.
<br>• Not a single person offered to help her.
<br>• You haven't been listening to a single word I've been saying."	[sound:oxford_single.mp3]	[sound:single_meaning.mp3]	[sound:single_example.mp3]						single	single	English::cefr-B2
success	"<span id=""word-in-definition"">success</span> is doing something well that you choose to do."	noun		B1	/səkˈses/	"<img src=""success.jpg"" />"	My daughter was a big success at school.	"• The success of almost any project depends largely on its manager.
<br>• I've been trying to persuade her to take on more people, but so far without success.
<br>• I'm not having much success in communicating with him at the moment.
<br>• The success rate for this operation is very low."	[sound:oxford_success.mp3]	[sound:success_meaning.mp3]	[sound:success_example.mp3]						success	success	English::cefr-B1
tear	"To <span id=""word-in-definition"">tear</span> something means to pull it apart."	verb		B1	/ter/	"<img src=""tear.jpg"" />"	It is easy to tear paper.	"• You have to be very careful with books this old because the paper tears very easily.
<br>• I tore my skirt on the chair as I stood up.
<br>• A couple of pages had been torn out of/from the book."	[sound:oxford_tear.mp3]	[sound:tear_meaning.mp3]	[sound:tear_example.mp3]						tear	tear	English::cefr-B1
theory	"A <span id=""word-in-definition"">theory</span> is an idea about how something works."	noun		B2	/ˈθɪr.i/	"<img src=""theory.jpg"" />"	We talked about Einstein's theory of relativity in class.	"• economic theory
<br>• scientific theory
<br>• Darwin's theory of evolution
<br>• He has a theory that the hole was caused by a meteorite."	[sound:oxford_theory.mp3]	[sound:theory_meaning.mp3]	[sound:theory_example.mp3]						theory	theory	English::cefr-B2
damage	"To <span id=""word-in-definition"">damage</span> something is to break, harm or spoil it."	verb		B1	/ˈdæm.ɪdʒ/	"<img src=""damage.jpg"" />"	The car was damaged in the accident.	"• Many buildings were badly damaged during the war.
<br>• It was a scandal that damaged a lot of reputations."	[sound:oxford_damage.mp3]	[sound:damage_meaning.mp3]	[sound:damage_example.mp3]						damage	damage	English::cefr-B1
discover	"To <span id=""word-in-definition"">discover</span> something is to find it for the first time."	verb		B1	/dɪˈskʌv.ɚ/	"<img src=""discover.jpg"" />"	I discovered some new information in this book!	"• Who discovered America?
<br>• We searched all morning for the missing papers and finally discovered them in a drawer.
<br>• <span class=""c-grammar-use"">[ + question word ]</span> Scientists have discovered how to predict an earthquake.
<br>• <span class=""c-grammar-use"">[ + (that) ]</span> She discovered (that) her husband was having an affair.
<br>• <span class=""c-grammar-use"">[ + to infinitive ]</span> Following a routine check-up, Mrs Mason was discovered to have heart disease.
<br>• <span class=""c-grammar-use"">[ + obj + -ing verb  ]</span> The boss discovered him stealing money from the cash register."	[sound:oxford_discover.mp3]	[sound:discover_meaning.mp3]	[sound:discover_example.mp3]						discover	discover	English::cefr-B1
emotion	"An <span id=""word-in-definition"">emotion</span> is how you feel."	noun		B2	/ɪˈmoʊ.ʃən/	"<img src=""emotion.jpg"" />"	Anger is a common emotion that we all feel.	"• Like a lot of men, he finds it hard to express his emotions.
<br>• My mother was overcome with emotion and burst into tears."	[sound:oxford_emotion.mp3]	[sound:emotion_meaning.mp3]	[sound:emotion_example.mp3]						emotion	emotion	English::cefr-B2
fix	"To <span id=""word-in-definition"">fix</span> something is to make it work."	verb		B1	/fɪks/	"<img src=""fix.jpg"" />"	My dad has many tools to help him fix broken things.	• They couldn't fix my old computer, so I bought a new one.	[sound:oxford_fix.mp3]	[sound:fix_meaning.mp3]	[sound:fix_example.mp3]						fix	fix	English::cefr-B1
identify	"To <span id=""word-in-definition"">identify</span> something is to be able to name it."	verb		B2	/aɪˈden.t̬ə.faɪ/	"<img src=""identify.jpg"" />"	I used the file to identify his name.	"• Even the smallest baby can identify its mother by her voice.
<br>• The gunman in Wednesday's attack has been identified as Lee Giggs, an unemployed truck driver.
<br>• The police officer identified himself (= gave his name or proved who he was) and asked for our help."	[sound:oxford_identify.mp3]	[sound:identify_meaning.mp3]	[sound:identify_example.mp3]						identify	identify	English::cefr-B2
prevent	"To <span id=""word-in-definition"">prevent</span> something is to stop it from happening."	verb		B1	/prɪˈvent/	"<img src=""prevent.jpg"" />"	The handcuffs prevented me from moving my hands.	"• Label your suitcases to prevent confusion.
<br>• <span class=""c-grammar-use"">[ + -ing verb ]</span> His disability prevents him (from) driving."	[sound:oxford_prevent.mp3]	[sound:prevent_meaning.mp3]	[sound:prevent_example.mp3]						prevent	prevent	English::cefr-B1
save	"To <span id=""word-in-definition"">save</span> something is to keep it from being hurt."	verb		B1	/seɪv/	"<img src=""save.jpg"" />"	I want to help save the world.	"• Wearing seat belts has saved many lives.
<br>• He fell in the river but his friend saved him from drowning.
<br>• He had to borrow money to save his business.
<br>• He was desperately trying to save their failing marriage.
<br>• We all need to do our part to save the planet.
<br>• The former tennis champion was now serving to save the match (= to win the next point so that the other player did not win this part of the competition)."	[sound:oxford_save.mp3]	[sound:save_meaning.mp3]	[sound:save_example.mp3]						save	save	English::cefr-B1
step	"To <span id=""word-in-definition"">step</span> is to walk."	verb	formal	B1	/step/	"<img src=""step.jpg"" />"	Be careful where you step.	"• She stepped backwards and fell over a chair.
<br>• They stepped out onto the balcony.
<br>• Be careful not to step in the mud.
<br>• Ow, you stepped on my foot!
<br>• mainly US Sorry but Mr Taylor has just stepped (= gone) out for a few minutes, but I'll tell him you called.
<br>• formal Step this way please, sir."	[sound:oxford_step.mp3]	[sound:step_meaning.mp3]	[sound:step_example.mp3]						step	step	English::cefr-B1
taste	"A <span id=""word-in-definition"">taste</span> is the flavor something makes in your mouth."	noun		B1	/teɪst/	"<img src=""taste.jpg"" />"	The taste of the fruit was sweet.	"• I love the taste of garlic.
<br>• Olives are usually an acquired taste (= you only like them after you have become familiar with their taste).
<br>• When you have a cold you often lose your sense of taste."	[sound:oxford_taste.mp3]	[sound:taste_meaning.mp3]	[sound:taste_example.mp3]						taste	taste	English::cefr-B1
wave	"A <span id=""word-in-definition"">wave</span> is a line of water that moves higher than the rest of the water."	noun		B1	/weɪv/	"<img src=""wave.jpg"" />"	The water was filled with large blue waves.	• At night, I listened to the sound of the waves breaking/crashing against the shore.	[sound:oxford_wave.mp3]	[sound:wave_meaning.mp3]	[sound:wave_example.mp3]						wave	wave	English::cefr-B1
benefit	"A <span id=""word-in-definition"">benefit</span> is a good thing."	noun	formal	B1	/ˈben.ə.fɪt/	"<img src=""benefit.jpg"">"	Being able to fly is a good benefit to birds.	"• The discovery of oil brought many benefits to the town.
<br>• One of the many benefits of foreign travel is learning how to cope with the unexpected.
<br>• He's had the benefit of an expensive education and yet he continues to work as a waiter.
<br>• I didn't get/derive (much) benefit from school.
<br>• With the benefit of hindsight (= helped by the knowledge learned later) it is easy for us to see where we went wrong.
<br>• formal She drinks a lot less now, to the benefit of her health as a whole."	[sound:oxford_benefit.mp3]	[sound:benefit_meaning.mp3]	[sound:benefit_example.mp3]						benefit	benefit	English::cefr-B1
certain	"If you are <span id=""word-in-definition"">certain</span> about something, you know it is true."	adjective		B1	/ˈsɝː.tən/	"<img src=""certain.jpg"" />"	I am certain that zebras have stripes.	"• <span class=""c-grammar-use"">[ + (that) ]</span> Are you absolutely certain (that) you gave them the right number?
<br>• I feel certain (that) you're doing the right thing.
<br>• You should make certain (that) everyone understands the instructions.
<br>• The police seem certain (that) they will find the people responsible for the attack.
<br>• <span class=""c-grammar-use"">[ + question word ]</span> I'm not certain how much it will cost.
<br>• He was quite certain about/of his attacker's identity.
<br>• One thing is certain - she won't resign willingly."	[sound:oxford_certain.mp3]	[sound:certain_meaning.mp3]	[sound:certain_example.mp3]						certain	certain	English::cefr-B1
chance	"A <span id=""word-in-definition"">chance</span> is an opportunity to do something."	noun		B1	/tʃæns/	"<img src=""chance.jpg"" />"	I had a chance to see the Roman Coliseum last summer.	"• I didn't get/have a chance to speak to her.
<br>• <span class=""c-grammar-use"">[ + to infinitive ]</span> If you give me a chance to speak, I'll explain.
<br>• Society has to give prisoners a second chance when they come out of jail.
<br>• He left and I missed my chance to say goodbye to him.
<br>• I'd go now given half a chance (= if I had the slightest opportunity)."	[sound:oxford_chance.mp3]	[sound:chance_meaning.mp3]	[sound:chance_example.mp3]						chance	chance	English::cefr-B1
effect	"An <span id=""word-in-definition"">effect</span> is a change made by something else."	noun		B1	/əˈfekt/	"<img src=""effect.jpg"" />"	The medicine had a good effect on the boy.	"• The radiation leak has had a disastrous effect on/upon the environment.
<br>• I tried taking tablets for the headache but they didn't have any effect.
<br>• I think I'm suffering from the effects of too little sleep.
<br>• She has a lot of confidence, which she uses to good effect (= to her advantage) in interviews."	[sound:oxford_effect.mp3]	[sound:effect_meaning.mp3]	[sound:effect_example.mp3]						effect	effect	English::cefr-B1
essential	"If something is <span id=""word-in-definition"">essential</span>, it is very important and necessary."	adjective		B1	/ɪˈsen.ʃəl/	"<img src=""essential.jpg"" />"	It is essential to have oxygen when you scuba dive.	"• Government support will be essential if the project is to succeed.
<br>• There is essential work to be done before the building can be re-occupied.
<br>• Water is essential for/to living things.
<br>• It is essential (that) our prices remain competitive.
<br>• <span class=""c-grammar-use"">[ + to infinitive ]</span> For the experiment to be valid, it is essential to record the data accurately."	[sound:oxford_essential.mp3]	[sound:essential_meaning.mp3]	[sound:essential_example.mp3]						essential	essential	English::cefr-B1
function	"The <span id=""word-in-definition"">function</span> of something is what it does."	noun		B2	/ˈfʌŋk.ʃən/	"<img src=""function.jpg"" />"	The function of a flashlight is to help you see in the dark.	"• The function of the veins is to carry blood to the heart.
<br>• I'm not quite sure what my function is within the company.
<br>• A thermostat performs the function of controlling temperature."	[sound:oxford_function.mp3]	[sound:function_meaning.mp3]	[sound:function_example.mp3]						function	function	English::cefr-B2
